,id,commA,commB,Files,labels
0,1,002f206f,a73cdd21,"['cache.h', 'sha1_file.c']",1
1,2,0041bf65,ef1e7406,['builtin/name-rev.c'],0
2,3,0196c75e,1958a17f,"['archive.c', 'builtin/blame.c', 'builtin/reset.c', 'builtin/update-index.c', 'combine-diff.c', 'notes-merge.c', 'pathspec.c', 'pathspec.h', 'revision.c', 'tree-diff.c']",1
3,6,02a8cfa4,c6c9e188,"['builtin/merge.c', 'compat/nedmalloc/nedmalloc.c']",0
4,9,053e2fb5,4966b58f,"['builtin/commit.c', 'builtin/reset.c', 'commit.c', 'commit.h', 'pretty.c', 'sequencer.c']",0
5,11,067622b0,4633a846,"['refs/files-backend.c', 'refs/refs-internal.h']",0
6,12,06c0ed7b,f56a4390,"['cache.h', 'git-compat-util.h', 'wrapper.c']",1
7,15,077be78d,bbbb7de7,"['path.c', 'submodule.c', 'submodule.h']",0
8,16,079aa97e,cccf74e2,"['builtin/fetch-pack.c', 'builtin/fetch.c', 'fetch-pack.c', 'fetch-pack.h', 'remote-curl.c', 'transport-helper.c', 'transport.c', 'transport.h', 'upload-pack.c']",0
9,17,07af8891,6a97da39,['daemon.c'],2
10,22,0a3f07d6,e9dcc305,['refs/files-backend.c'],0
11,23,0bb80ab0,0a4ae91d,['builtin/blame.c'],0
12,24,0c1138cb,dbd23433,['builtin/apply.c'],4
13,26,0d8a814d,17eff96b,"['refs.c', 'refs.h']",0
14,27,0ef8e169,2c1eb104,"['dir.c', 'dir.h', 'unpack-trees.c']",1
15,30,0fe5043d,2880d16f,"['refs/files-backend.c', 'refs/refs-internal.h']",1
16,31,10a9ddba,1ffec303,['builtin/apply.c'],0
17,32,110bdbdd,a9508a13,['builtin/blame.c'],0
18,34,11f4eb19,95235f5b,['builtin/log.c'],0
19,35,126c9e05,378dc910,['refs.c'],0
20,36,12cd0bf9,6f52b741,['dir.c'],0
21,37,12fd3496,3a8af7be,"['refs/files-backend.c', 'refs/refs-internal.h']",0
22,39,13af774e,14af79b9,"['cache.h', 'dir.c', 'dir.h', 'wrapper.c']",1
23,41,161fcbe9,8bcba3d0,['builtin/apply.c'],0
24,43,16f9b4cd,f75619bd,"['hashmap.c', 'hashmap.h']",0
25,44,17966c0a,94e99012,['http-walker.c'],0
26,45,17eff96b,fa099d23,"['branch.c', 't/helper/test-ref-store.c', 'worktree.c', 'worktree.h']",0
27,46,18547aac,3d5b23a3,['diffcore-pickaxe.c'],1
28,47,18d0002d,7d2df051,"['refs.c', 'refs.h', 'refs/files-backend.c', 'refs/refs-internal.h']",1
29,48,18f3ce88,b32d7c52,['builtin/merge.c'],0
30,50,1a5f1a3f,11b53957,"['builtin/submodule--helper.c', 'submodule-config.c', 'submodule-config.h']",0
31,51,1aa40df6,a58a1b01,"['builtin/am.c', 'builtin/checkout.c', 'revision.c', 'revision.h']",1
32,53,1b8132d9,c97268c8,"['builtin/notes.c', 'cache.h', 'config.c', 'submodule-config.c']",1
33,55,1d77bed8,ed0f7bde,"['gpg-interface.c', 'run-command.c', 'run-command.h']",0
34,56,1e0c3b68,ac3f5a34,"['builtin/branch.c', 'builtin/for-each-ref.c', 'builtin/tag.c', 'parse-options.h', 'ref-filter.c', 'ref-filter.h']",0
35,57,1e4085a0,8eb94600,['http-push.c'],0
36,59,1e4bf907,e25a4ded,"['builtin/am.c', 'builtin/log.c', 'builtin/mailsplit.c', 'commit.h', 'log-tree.c', 'pretty.c']",0
37,60,1eab194b,33dfb9f3,['refs/files-backend.c'],0
38,61,1eb47f16,189d035e,"['builtin/checkout.c', 'builtin/mv.c', 'pretty.c', 'transport.c']",2
39,62,1ecdecce,24959bad,['wt-status.c'],0
40,63,1f5d429e,c8b080af,"['builtin/add.c', 'builtin/checkout.c', 'builtin/commit.c', 'cache.h', 'read-cache.c']",0
41,65,1fc458d9,25804914,['builtin/read-tree.c'],3
42,66,1ffec303,d7263d09,['builtin/apply.c'],4
43,67,202275b9,6e3c1595,"['submodule.c', 'submodule.h']",0
44,68,207a06ce,0ef8e169,['dir.c'],1
45,72,227307a6,a42e1b41,"['builtin.h', 'builtin/rev-parse.c', 'git.c', 'sequencer.c']",0
46,73,22a72335,ee87a6e7,['builtin/apply.c'],2
47,74,24959bad,d9fc746c,"['builtin/commit.c', 'wt-status.c', 'wt-status.h']",1
48,75,24c8407e,9476c6ed,['refs.c'],2
49,76,252ef8fe,bb622de8,['ident.c'],1
50,78,269a7a83,a45a2600,"['builtin/fetch-pack.c', 'builtin/fetch.c', 'fetch-pack.c', 'fetch-pack.h', 'remote-curl.c', 'transport-helper.c', 'transport.c', 'transport.h']",0
51,80,2880d16f,bf0c6603,"['builtin/fetch.c', 'builtin/remote.c', 'refs.c', 'refs.h', 'refs/files-backend.c', 'refs/refs-internal.h']",1
52,84,2997178e,079aa97e,"['object.h', 'upload-pack.c']",0
53,85,29e54b01,bf523da2,['builtin/apply.c'],1
54,89,2b6456b8,3d55eea8,['builtin/am.c'],0
55,90,2b70e88d,fba92be8,"['dir.c', 'dir.h', 'unpack-trees.c']",1
56,92,2c1eb104,0d32c183,"['builtin/add.c', 'builtin/clean.c', 'builtin/grep.c', 'builtin/ls-files.c', 'dir.c', 'dir.h', 'wt-status.c']",0
57,93,2c5e2865,f4d3af18,"['builtin/pack-objects.c', 'builtin/receive-pack.c', 'bulk-checkin.c', 'fast-import.c', 'pack-write.c', 'pack.h', 'send-pack.c']",0
58,94,2c608e0f,ad2d7776,"['builtin/cat-file.c', 'builtin/fsck.c', 'builtin/index-pack.c', 'builtin/pack-objects.c', 'cache.h', 'pack-check.c', 'pack.h', 'sha1_file.c']",1
59,96,2d646e3e,5938454c,"['builtin/gc.c', 'builtin/receive-pack.c', 'daemon.c', 'fetch-pack.c', 'git-compat-util.h', 'ident.c', 'wrapper.c']",0
60,98,2e477d8d,f9d7abec,"['read-cache.c', 'split-index.c', 'split-index.h']",0
61,99,2e5d6503,c48f4b37,"['builtin/config.c', 'builtin/ls-files.c', 'cache.h', 'config.c']",0
62,100,2eb80bcd,f9b11147,['builtin/pull.c'],1
63,101,2eed2780,ffeef642,['refs/files-backend.c'],1
64,102,2f63cea9,c84a86c9,['builtin/apply.c'],1
65,104,30b5ae4d,5cae882d,['builtin/apply.c'],0
66,105,31471ba2,b0a61ab2,"['dir.c', 'path.c', 'strbuf.c', 'strbuf.h', 'wt-status.c']",0
67,106,3157c880,002f206f,[],0
68,108,33d66df3,7422ab50,['builtin/tag.c'],0
69,111,389c3289,1676827c,['compat/winansi.c'],1
70,113,39cadeec,566fdaf6,['builtin/fetch.c'],0
71,114,3a8af7be,71564516,"['refs.c', 'refs/refs-internal.h']",0
72,117,3bc581b9,4c4de895,"['refs.c', 'refs/files-backend.c', 'refs/iterator.c', 'refs/refs-internal.h']",0
73,118,3be89f9b,7043c707,"['builtin/clone.c', 'builtin/fetch.c', 'builtin/receive-pack.c', 'connected.c', 'connected.h']",1
74,119,3c78fd80,af95749f,['archive-zip.c'],1
75,121,3cc75c10,9db39797,"['builtin/fsck.c', 'fsck.c', 'fsck.h']",0
76,122,3d75bba2,ef22318c,"['cache.h', 'wrapper.c']",0
77,123,3d9ff4d7,569e554b,['upload-pack.c'],1
78,124,3e7eaed0,bb62e0a9,['builtin/clone.c'],0
79,126,3edcc048,60cf6cd7,"['ref-filter.c', 'ref-filter.h']",0
80,129,4067a454,cf27c799,"['builtin/push.c', 'builtin/receive-pack.c', 'send-pack.c', 'send-pack.h', 'transport.c', 'transport.h']",1
81,130,41534b62,2b69d311,"['builtin/fetch-pack.c', 'fetch-pack.c', 'fetch-pack.h', 'remote.h', 'transport.c']",0
82,131,419fd786,610b2337,['submodule.c'],0
83,132,42bd6681,7a23f736,['archive-tar.c'],0
84,133,4322353b,96335bcf,"['run-command.c', 'run-command.h']",0
85,134,4322478a,eee886cf,['builtin/verify-commit.c'],1
86,135,4417df8c,1aa40df6,['http-push.c'],0
87,137,4473060b,48a96972,"['builtin/gc.c', 'builtin/remote.c', 'builtin/show-branch.c', 'cache.h', 'commit.c', 'diff.c', 'ewah/ewah_io.c', 'git-compat-util.h', 'http-walker.c', 'sha1_file.c', 'tempfile.c', 'upload-pack.c', 'wrapper.c', 'wt-status.c']",0
88,139,45a3e526,0d789a5b,['fetch-pack.c'],0
89,140,45cbc37c,4b7989b1,['config.c'],0
90,141,4633a846,c5f04ddd,"['builtin/fetch.c', 'builtin/remote.c', 'refs.h', 'refs/files-backend.c']",0
91,142,46ac74b7,ca5c701c,"['cache.h', 'write_or_die.c']",3
92,143,46bdfa39,c9672ba4,"['builtin/config.c', 'cache.h', 'config.c']",0
93,145,473e3930,e799ed40,['dir.c'],1
94,147,4931b02f,8bc095f7,['builtin/rev-parse.c'],0
95,148,493ddea5,62e5e83f,"['builtin/commit.c', 'builtin/reset.c', 'commit.c', 'commit.h', 'pretty.c', 'sequencer.c']",0
96,156,4e8161a8,09bdff29,['diff.c'],0
97,160,50c2d855,f890db83,"['refs/ref-cache.c', 'refs/ref-cache.h']",0
98,161,5220b758,76180a2b,"['compat/mingw.c', 'compat/mingw.h', 'compat/winansi.c']",1
99,162,52debb68,5f30bb4a,"['commit.h', 'graph.c', 'graph.h', 'log-tree.c', 'pretty.c']",0
100,168,569e554b,508ea882,"['builtin/fetch-pack.c', 'builtin/fetch.c', 'fetch-pack.c', 'fetch-pack.h', 'remote-curl.c', 'transport.c', 'transport.h']",1
101,170,574f5a59,b8023558,['builtin/apply.c'],0
102,171,57734b4e,0a315bef,"['builtin/checkout.c', 'pretty.c', 'transport.c']",0
103,173,57f5d52a,12e0437f,"['common-main.c', 'git.c']",1
104,175,58142c09,6d308627,['builtin/worktree.c'],1
105,177,5854b36c,fd4df422,"['compat/mingw.c', 'compat/mingw.h', 'compat/winansi.c']",2
106,180,5bfc50d6,bfc99b63,"['cache.h', 'compat/mingw.c', 'compat/mingw.h', 'config.c', 'environment.c']",0
107,184,5cae882d,901f9c6d,['builtin/apply.c'],1
108,187,5d3206d5,1b7ba794,"['builtin/cat-file.c', 'builtin/receive-pack.c', 'builtin/rev-parse.c', 'cache.h', 'sha1-array.c', 'sha1-array.h', 'sha1_name.c', 'submodule.c', 't/helper/test-sha1-array.c']",1
109,189,6003303a,3f338f43,['builtin/am.c'],1
110,190,60452a30,949782d8,['test-regex.c'],1
111,191,60cf6cd7,f6c64c64,"['attr.c', 'attr.h', 'dir.c', 'pathspec.c', 'pathspec.h']",0
112,192,610b2337,d1a8460c,['submodule.c'],0
113,199,6395499a,4067a454,"['http-walker.c', 'http.c']",0
114,200,654b9a90,cf93982f,['upload-pack.c'],0
115,203,68353144,984ad9e5,"['worktree.c', 'worktree.h']",0
116,204,683f17ec,3e8e32c3,"['diff.c', 'diff.h', 'patch-ids.c']",0
117,205,68ab61dd,e92b848c,"['builtin/pack-objects.c', 'builtin/receive-pack.c', 'commit.c', 'commit.h', 'fetch-pack.c', 'shallow.c', 'upload-pack.c']",1
118,207,6a024a24,f7b01d3e,"['submodule-config.c', 't/helper/test-submodule-config.c']",2
119,208,6b34ce90,702ebbf4,['refs/files-backend.c'],0
120,210,6b9114c6,768ededa,"['builtin/notes.c', 'cache.h', 'config.c', 'submodule-config.c']",0
121,211,6bc91f23,bc437d10,['builtin/fetch.c'],0
122,212,6c0c2bf5,f4c9eaa4,['builtin/apply.c'],1
123,213,6ca4c390,885eefb1,['builtin/apply.c'],0
124,214,6cbc478d,b80f629f,"['bisect.c', 'builtin/am.c', 'builtin/branch.c', 'builtin/commit.c', 'builtin/config.c', 'builtin/pull.c', 'builtin/worktree.c', 'fast-import.c', 'notes-merge.c', 'sequencer.c']",1
125,215,6d14eac3,1fc458d9,['builtin/checkout.c'],3
126,216,6d308627,080739ba,['worktree.c'],0
127,217,6d41eb68,0196c75e,['upload-pack.c'],0
128,218,6d43a0ce,41da7111,"['refs.c', 'refs.h']",0
129,220,6d5badb2,392f6d31,['xdiff/xemit.c'],0
130,222,6d8c5454,d15c05a5,"['grep.c', 'xdiff-interface.c', 'xdiff/xemit.c']",0
131,223,6e30b2f6,5d9b2de4,['refs/files-backend.c'],0
132,224,6e3c1595,d6b12300,['unpack-trees.c'],0
133,225,6ea57703,4d7b0efc,['log-tree.c'],0
134,227,6f27b941,1da16e1e,['builtin/apply.c'],0
135,228,6f37eb7d,ace976b2,['sequencer.c'],0
136,229,6f52b741,ae520e36,['dir.c'],0
137,230,71564516,165056b2,['refs/files-backend.c'],0
138,231,7171a0b0,fd3e6747,['builtin/index-pack.c'],0
139,233,71dac5ce,2f63cea9,['builtin/apply.c'],1
140,234,71f35d5c,569aa376,"['diff.c', 'notes-cache.c', 'notes-cache.h']",0
141,235,7243f5f3,e9c6b279,['builtin/apply.c'],0
142,236,73bc4b49,349e0c1a,['daemon.c'],2
143,237,740ee055,a92ea68f,['log-tree.c'],0
144,238,7422ab50,1e43ed98,"['notes-merge.c', 'ref-filter.c', 'sequencer.c', 'sha1_name.c', 'shallow.c', 'submodule.c']",0
145,239,743fba85,aa9136a8,"['builtin/cat-file.c', 'builtin/fsck.c', 'builtin/index-pack.c', 'builtin/pack-objects.c', 'cache.h', 'pack-check.c', 'pack.h', 'sha1_file.c']",2
146,242,7647537e,78849622,"['builtin/pack-objects.c', 'cache.h', 'pack-write.c', 'sha1_file.c']",0
147,243,77023ea3,3157c880,"['cache.h', 'pack-write.c', 'sha1_file.c']",0
148,244,7758b02b,7e58b816,"['cache.h', 'send-pack.c', 'write_or_die.c']",0
149,245,77a9745d,c714e45f,['builtin/receive-pack.c'],0
150,247,79891cb9,3d9ff4d7,"['commit.h', 'shallow.c']",1
151,248,799e09e5,4aa2c475,['grep.c'],1
152,250,7a738b40,1e4bf907,"['cache.h', 'config.c', 't/helper/test-config.c', 'upload-pack.c']",0
153,251,7a7d0854,e059388f,"['builtin/submodule--helper.c', 'submodule.c', 'submodule.h']",0
154,253,7b01ab56,b4e8a847,"['dir.c', 'path.c', 'strbuf.c', 'strbuf.h', 'wt-status.c']",0
155,254,7b35efd7,1cd772cc,"['builtin/fsck.c', 'fsck.c', 'fsck.h']",0
156,255,7c8d2b00,aacc5c1a,['submodule.c'],0
157,257,7fcbd37f,3f0f6624,['upload-pack.c'],0
158,258,802de3da,19e02f4f,['refs/files-backend.c'],0
159,260,8169d0d0,6e30b2f6,"['refs/files-backend.c', 'refs/refs-internal.h']",0
160,261,825b9226,c0c70f7a,"['convert.c', 'pkt-line.c', 'pkt-line.h']",1
161,262,834bc47b,3e930981,"['builtin/index-pack.c', 'builtin/merge-tree.c', 'object.c']",0
162,264,864033a3,6cbc478d,"['cache.h', 'read-cache.c']",1
163,265,867e40ff,01e60a9a,['archive-zip.c'],1
164,266,873700c9,8bf3b758,['upload-pack.c'],1
165,267,89b8710f,bb2d8a81,['builtin/submodule--helper.c'],3
166,268,8a5ad2ba,6d4960ac,"['cache.h', 'trace.c', 'write_or_die.c']",0
167,269,8a679de6,92b1551b,"['refs/files-backend.c', 'refs/refs-internal.h']",1
168,270,8a81d5f5,174f9e62,['builtin/am.c'],0
169,271,8bcba3d0,70e1d53d,['builtin/apply.c'],0
170,273,8e342255,72ce3ff7,"['builtin/log.c', 'patch-ids.c', 'patch-ids.h']",2
171,274,8f71209d,ba5e05ff,"['builtin/index-pack.c', 'cache.h', 'environment.c', 'fast-import.c', 'git-compat-util.h', 'sha1_file.c']",0
172,275,901f9c6d,6ca4c390,['builtin/apply.c'],1
173,276,905f27b8,e26a8c47,"['builtin/pack-objects.c', 'builtin/repack.c']",0
174,277,90cf590f,cec9264f,"['archive-tar.c', 'builtin/fsck.c', 'fsck.c', 'fsck.h', 'help.c']",1
175,278,912c13d5,71f35d5c,"['merge-recursive.c', 'submodule.c', 'submodule.h']",0
176,279,9318c5dd,e8e44de7,['upload-pack.c'],1
177,282,944cffbd,48be4c62,['sequencer.c'],1
178,284,957a0fe2,be7e795e,"['builtin/commit.c', 'wt-status.c', 'wt-status.h']",3
179,285,968004c3,e29300d6,"['cache.h', 'compat/mingw.c', 'compat/mingw.h', 'config.c', 'environment.c']",1
180,286,96e08010,2b6456b8,"['builtin/am.c', 'builtin/branch.c', 'builtin/config.c', 'builtin/merge.c', 'cache.h', 'wrapper.c']",1
181,287,974b50c5,825b9226,"['pkt-line.c', 'pkt-line.h']",1
182,288,979f0303,f2140c38,"['commit.h', 'graph.c', 'graph.h', 'log-tree.c', 'pretty.c']",0
183,289,98491298,4417df8c,"['refs/files-backend.c', 'refs/ref-cache.c', 'refs/ref-cache.h']",1
184,290,98718242,7202a6fa,"['builtin/pack-objects.c', 'bulk-checkin.c', 'fast-import.c', 'pack-write.c', 'pack.h']",0
185,291,98f2a687,9e58beca,"['builtin/add.c', 'dir.c', 'dir.h']",0
186,292,993a21b0,7b35efd7,"['fsck.c', 'fsck.h']",0
187,293,996ee6d2,1b8132d9,"['cache.h', 'config.c', 'submodule-config.c']",1
188,295,9b561499,b4da9d62,['merge-recursive.c'],0
189,296,9d77b040,5ab72271,[],0
190,297,9d9babb8,e8c16726,"['gettext.c', 'gettext.h']",0
191,298,9e31eafe,4322478a,"['builtin/reflog.c', 'refs.h', 'refs/files-backend.c']",0
192,299,9e58beca,2b70e88d,['dir.c'],1
193,300,9e6a4cfc,e0876bca,['xdiff-interface.c'],0
194,301,9e7ec634,18d0002d,"['refs.c', 'refs.h', 'refs/refs-internal.h']",0
195,303,9f23e040,c88098d7,['builtin/mailsplit.c'],0
196,304,a0393a29,9c966371,['builtin/revert.c'],0
197,305,a086f921,3e7eaed0,['builtin/submodule--helper.c'],0
198,307,a0bba65b,207a06ce,['dir.c'],0
199,308,a199a7c9,6bc91f23,"['builtin/fetch.c', 'builtin/rev-list.c', 'daemon.c', 'grep.c', 'pretty.c', 'xdiff-interface.c', 'xdiff/xemit.c']",0
200,309,a220e2bb,1e274ef2,"['cache.h', 'send-pack.c', 'write_or_die.c']",0
201,311,a48f9bb1,574f5a59,['builtin/apply.c'],0
202,312,a52397cc,d0b39a03,['builtin/fetch.c'],0
203,313,a560d870,0c064d90,['refs.c'],0
204,314,a58a1b01,654b9a90,['revision.c'],1
205,315,a58a8e3f,f4fa8a9b,"['submodule-config.c', 't/helper/test-submodule-config.c']",1
206,316,a5c1efd6,802de3da,['refs/files-backend.c'],0
207,317,a6bb78c3,b439747b,['submodule.c'],0
208,318,a8739244,3bc581b9,"['refs.h', 'refs/files-backend.c', 'refs/refs-internal.h']",0
209,319,a92ea68f,d3101b53,"['builtin/describe.c', 'builtin/pack-objects.c', 'builtin/replace.c', 'log-tree.c', 'object.c', 'sha1_name.c', 'tag.c', 'tag.h']",0
210,320,a9508a13,8f71209d,['builtin/rev-parse.c'],0
211,321,a9b5f5bf,944cffbd,"['builtin/am.c', 'builtin/blame.c', 'builtin/reset.c', 'diff-lib.c', 'diff.h']",1
212,323,aa20cbc2,2bb73ae8,"['builtin/apply.c', 'builtin/patch-id.c']",0
213,325,ace976b2,f06e90da,"['builtin/merge.c', 'builtin/pull.c', 'cache.h', 'merge.c', 'sequencer.c']",0
214,326,adb33566,ae989a61,['git-compat-util.h'],0
215,327,ae520e36,98f2a687,['dir.c'],0
216,328,ae989a61,df8e472c,['color.c'],0
217,329,ae9f6311,f0bca72d,['send-pack.c'],0
218,330,af4941d4,02a8cfa4,"['builtin/merge.c', 'merge-recursive.c']",0
219,331,af6730e7,b8607f35,"['bundle.c', 'bundle.h', 'transport.c']",0
220,341,b4da9d62,4e8161a8,"['builtin/merge-recursive.c', 'merge-recursive.c', 'merge-recursive.h']",0
221,342,b58a68c1,be80a239,['builtin/grep.c'],1
222,344,b5f62ebe,9318c5dd,['transport-helper.c'],0
223,345,b76184e4,36371e4c,['builtin/apply.c'],1
224,346,b8023558,82f0dfca,['builtin/apply.c'],2
225,349,bb0ba997,7a3eb9e2,['builtin/apply.c'],2
226,350,bb2d8a81,3c5de5c7,"['color.c', 'color.h', 'git-compat-util.h']",2
227,351,bbbb7de7,5d0bc90e,"['refs.c', 'refs/files-backend.c', 'refs/refs-internal.h']",0
228,353,be7e795e,c4f596b9,['builtin/commit.c'],0
229,356,c061a149,3c78fd80,['archive-zip.c'],1
230,362,c5119dcf,e3f51039,['refs/files-backend.c'],0
231,363,c6b0597e,38f460ca,"['builtin/submodule--helper.c', 'grep.c', 'grep.h', 'revision.c', 'trace.c']",0
232,364,c6eff44d,31471ba2,"['dir.c', 'path.c', 'strbuf.c', 'strbuf.h', 'wt-status.c']",0
233,365,c714e45f,f6a4e61f,"['builtin/push.c', 'send-pack.c', 'send-pack.h', 'transport.c', 'transport.h']",0
234,366,c772d1bc,cd27bc7a,"['setup.c', 'strbuf.c', 'strbuf.h', 'worktree.c']",0
235,367,c81539b5,c0222e76,['trace.c'],1
236,368,c81d2836,8e4571e5,['wrapper.c'],0
237,369,c84a86c9,91b769c4,['builtin/apply.c'],1
238,370,c88098d7,d9925d1a,['builtin/am.c'],0
239,371,ca79c985,4cf2143e,"['builtin/pack-objects.c', 'pack-objects.h']",0
240,374,cc6ee97c,070b7e44,"['builtin/apply.c', 'builtin/cat-file.c', 'builtin/patch-id.c', 'builtin/remote.c', 'builtin/submodule--helper.c', 'compat/winansi.c', 'diff.c', 'fast-import.c']",0
241,376,cd02599c,9c4b0f66,['builtin/diff.c'],0
242,377,cdc37277,2997178e,['upload-pack.c'],1
243,379,cedfc41a,9850fe5d,['ref-filter.c'],0
244,380,cf27c799,d083d420,"['builtin/revert.c', 'parse-options-cb.c', 'parse-options.h']",1
245,382,cf596442,bcb497d0,['refs/files-backend.c'],0
246,383,d0b6966e,2c608e0f,"['builtin/worktree.c', 'worktree.c', 'worktree.h']",0
247,385,d24b21e9,0fe5043d,[],0
248,386,d2554c72,51dd3e81,"['builtin/name-rev.c', 'http.c']",0
249,387,d2b7d9c7,2eb80bcd,"['builtin/fetch.c', 'submodule.c', 'submodule.h']",0
250,389,d2ee1185,d2b7d9c7,['sha1_name.c'],0
251,390,d3101b53,9fd75046,"['builtin/fsck.c', 'pack-check.c', 'pack.h']",0
252,391,d3621de7,ff2981f7,['xdiff/xemit.c'],0
253,395,d4aae459,8325e43b,"['abspath.c', 'bisect.c', 'builtin/init-db.c', 'cache.h', 'dir.c', 'environment.c', 'http.c', 'line-log.c', 'progress.c', 'setup.c', 'submodule.c', 'transport.c', 'worktree.c', 'wt-status.c']",0
254,397,d6b12300,a7bc845a,"['unpack-trees.c', 'unpack-trees.h']",0
255,398,d7263d09,71dac5ce,['builtin/apply.c'],3
256,402,d993ce1e,e1d09701,['builtin/blame.c'],0
257,403,dabd35f4,54307ea7,"['bisect.c', 'commit.c', 'commit.h']",0
258,404,dbc5276f,60b84ba2,"['builtin/revert.c', 'parse-options-cb.c', 'parse-options.h']",0
259,405,dbf1b5fb,119ab159,['builtin/apply.c'],0
260,406,dc21164e,7418a6b1,['builtin/blame.c'],0
261,407,dc7e09a3,43a42aa4,['pager.c'],4
262,408,dcde8b3d,2fc0f184,['builtin/apply.c'],0
263,409,de37d50d,4939e2c4,['builtin/read-tree.c'],0
264,411,de8946de,3c8a51e8,['merge-recursive.c'],0
265,414,df5a9255,fda65fad,"['grep.c', 'xdiff-interface.c', 'xdiff/xemit.c']",1
266,416,e04d08a4,e78d5d49,"['builtin/am.c', 'builtin/merge.c']",0
267,417,e0a92804,511dca80,['builtin/name-rev.c'],1
268,418,e0e56cbf,7725bebe,['wrapper.c'],0
269,419,e15b9606,45cbc37c,"['builtin/index-pack.c', 'cache.h', 'environment.c', 'fast-import.c', 'git-compat-util.h', 'sha1_file.c']",0
270,421,e1fae930,3edcc048,"['builtin/rev-parse.c', 'submodule.c', 'submodule.h']",0
271,423,e25a4ded,979f0303,"['builtin/pack-objects.c', 'builtin/repack.c']",0
272,424,e25c1229,41534b62,"['builtin/branch.c', 'builtin/checkout.c', 'builtin/merge.c', 'cache.h', 'refs.c', 'revision.c', 'sha1_name.c', 'strbuf.h']",0
273,428,e3a43446,3a300333,"['string-list.c', 'string-list.h']",2
274,430,e4770f67,b2dfeb7c,['builtin/ls-files.c'],0
275,431,e51217e1,d1657b57,['archive-tar.c'],2
276,432,e5a730a1,c81d2836,['builtin/blame.c'],0
277,434,e6a492b7,834bc47b,['builtin/unpack-objects.c'],0
278,435,e799ed40,a0bba65b,"['builtin/add.c', 'builtin/check-ignore.c', 'builtin/clean.c', 'builtin/ls-files.c', 'dir.c', 'dir.h', 'unpack-trees.c']",0
279,437,e8e44de7,5c24cdea,['upload-pack.c'],2
280,439,e9c6b279,10a9ddba,['builtin/apply.c'],0
281,441,ee7fd70e,48aa37ed,"['dir.c', 'path.c', 'strbuf.c', 'strbuf.h', 'wt-status.c']",0
282,442,ee861e0f,52563d7e,"['cache.h', 'wrapper.c']",1
283,443,ee87a6e7,2595a8b1,['builtin/apply.c'],2
284,444,ee92ab99,60759baa,"['builtin/submodule--helper.c', 'cache.h', 'credential-cache.c', 'path.c']",1
285,445,ef635b90,873700c9,['upload-pack.c'],0
286,446,efe47281,3a0b6b9a,"['refs/files-backend.c', 'refs/refs-internal.h']",0
287,447,f26efc58,49a09e74,['builtin/reflog.c'],0
288,449,f36538d8,b6446d54,"['apply.c', 'apply.h', 'builtin/apply.c']",0
289,450,f5236a77,96e08010,"['bisect.c', 'builtin/worktree.c', 'commit.c', 'commit.h', 'walker.c', 'walker.h']",1
290,451,f57f37e2,24c8407e,['refs.c'],0
291,452,f6136f3c,283badc3,['builtin/submodule--helper.c'],0
292,453,f63df942,93abd178,['builtin/show-branch.c'],2
293,455,f7f90e0f,adbcfe65,"['archive-tar.c', 'compat/winansi.c']",1
294,457,f95fdc25,bb493a5c,"['apply.h', 'builtin/apply.c']",0
295,458,f989ac27,2846ef3e,"['abspath.c', 'builtin/init-db.c', 'cache.h', 'dir.c', 'environment.c', 'setup.c', 'submodule.c', 'transport.c', 'worktree.c']",0
296,459,f9b11147,ee3051bd,"['bisect.c', 'builtin/pull.c', 'builtin/receive-pack.c', 'combine-diff.c', 'fetch-pack.c', 'fsck.c', 'remote-curl.c', 'send-pack.c', 'sha1-array.c', 'sha1-array.h', 'shallow.c']",1
297,460,fa099d23,d026a256,"['branch.c', 'refs.h', 'refs/files-backend.c']",3
298,461,fa13fd17,48b3693d,['hash.h'],1
299,462,fa96ea1b,92b38093,"['refs/files-backend.c', 'refs/refs-internal.h']",0
300,463,fba92be8,473e3930,"['dir.c', 'dir.h', 'unpack-trees.c']",1
301,464,fcf0fe9e,3ad87c80,"['commit.h', 'graph.c', 'graph.h', 'log-tree.c', 'pretty.c', 'sideband.c', 'sideband.h', 'upload-pack.c']",0
302,466,fd3e6747,da49a7da,['builtin/index-pack.c'],0
303,467,fdba2cde,36d67921,['test-date.c'],0
304,468,ffeef642,a8739244,['refs/files-backend.c'],0
