,Commit A,Commit B,Hit/Dismiss
0,002f206f,a73cdd21,1
1,0041bf65,ef1e7406,0
4,0196c75e,1958a17f,1
6,027a3b94,40bcf318,1
8,029aeeed,c772d1bc,5
9,02a8cfa4,c6c9e188,0
10,034667a4,7e71542e,2
11,03c39b34,08aade70,1
15,053e2fb5,4966b58f,0
19,066790d7,43ec5509,1
20,067622b0,4633a846,0
21,06c0ed7b,f56a4390,1
22,06dec439,74a7fa44,0
24,0767172b,fdba2cde,0
25,077be78d,bbbb7de7,0
26,079aa97e,cccf74e2,0
27,07af8891,6a97da39,2
31,08bb3500,da470981,0
32,08df31ee,514dea90,0
34,09bdff29,33ba9c64,0
35,09fb5356,a026bde1,3
36,0a3f07d6,e9dcc305,0
39,0bb80ab0,0a4ae91d,0
40,0c1138cb,dbd23433,4
41,0d32c183,5a522142,1
42,0d8a814d,17eff96b,0
44,0ef8e169,2c1eb104,1
45,0f12c7d4,5f072e00,0
46,0f3d855e,d9497518,0
50,0fe5043d,2880d16f,1
51,10a9ddba,1ffec303,0
52,110bdbdd,a9508a13,0
53,116fb64e,e4da43b1,0
54,11f4eb19,95235f5b,0
55,126c9e05,378dc910,0
56,12cd0bf9,6f52b741,0
57,12fd3496,3a8af7be,0
58,1335d76e,a903e233,1
60,13af774e,14af79b9,1
61,14bb40b3,d0d7fed1,1
63,161fcbe9,8bcba3d0,0
65,16d2676c,5d2993b6,0
66,16f9b4cd,f75619bd,0
67,17966c0a,94e99012,0
69,17eff96b,fa099d23,0
70,18547aac,3d5b23a3,1
72,18d0002d,7d2df051,1
73,18f3ce88,b32d7c52,0
75,19e9542f,9b67c994,0
76,1a5f1a3f,11b53957,0
77,1aa40df6,a58a1b01,1
78,1b614c07,2225e1ea,1
79,1b8132d9,c97268c8,1
80,1cd772cc,f9e7d9f8,0
81,1d77bed8,ed0f7bde,0
82,1e0c3b68,ac3f5a34,0
83,1e4085a0,8eb94600,0
84,1e43ed98,bc83266a,0
86,1e4bf907,e25a4ded,0
88,1eab194b,33dfb9f3,0
89,1eb47f16,189d035e,2
90,1ecdecce,24959bad,0
91,1f5d429e,c8b080af,0
92,1f66975d,f4beed60,0
95,1fc458d9,25804914,3
96,1ffec303,d7263d09,4
97,202275b9,6e3c1595,0
98,207a06ce,0ef8e169,1
99,211c61c6,1335d76e,1
100,218c8837,6fa68ff2,1
102,2225e1ea,dce96c41,1
103,227307a6,a42e1b41,0
104,22a72335,ee87a6e7,2
105,24959bad,d9fc746c,1
106,24c8407e,9476c6ed,2
107,252ef8fe,bb622de8,1
111,268ef4d3,951b551d,0
112,269a7a83,a45a2600,0
116,283badc3,05781d37,0
117,2880d16f,bf0c6603,1
118,28e1aaa4,3ec80449,0
119,28f4aee3,f131db9e,3
120,29493589,ecba1953,3
121,2997178e,079aa97e,0
122,29e54b01,bf523da2,1
123,2a0e6cde,6f8d9bcc,2
124,2a1bd45b,fba275dc,0
125,2af7da9f,d751dd11,0
126,2b6456b8,3d55eea8,0
127,2b70e88d,fba92be8,1
128,2bb73ae8,cd82b7a0,0
129,2c1eb104,0d32c183,0
130,2c5e2865,f4d3af18,0
131,2c608e0f,ad2d7776,1
132,2cb040ba,46e22b70,0
133,2d646e3e,5938454c,0
135,2e3a16b2,b3dfeebb,0
136,2e477d8d,f9d7abec,0
137,2e5d6503,c48f4b37,0
138,2eb80bcd,f9b11147,1
139,2eed2780,ffeef642,1
140,2f63cea9,c84a86c9,1
141,2fc0f184,2e3926b9,0
143,30b5ae4d,5cae882d,0
144,31471ba2,b0a61ab2,0
145,3157c880,002f206f,0
150,33ba9c64,fa90ab4a,0
151,33d66df3,7422ab50,0
152,346ef530,b5f62ebe,0
158,37ee680d,3e8b7d3c,0
159,389c3289,1676827c,1
160,3916adf9,d9d501b0,3
161,39cadeec,566fdaf6,0
163,3a8af7be,71564516,0
164,3ac87030,6b9c38e1,0
165,3b754eed,0488792d,1
166,3bc581b9,4c4de895,0
167,3be89f9b,7043c707,1
168,3c78fd80,af95749f,1
169,3c8ede3f,c61b2af7,0
170,3cc75c10,9db39797,0
172,3d75bba2,ef22318c,0
173,3d9ff4d7,569e554b,1
174,3e7eaed0,bb62e0a9,0
176,3e930981,3aca1fc6,0
177,3edcc048,60cf6cd7,0
179,3f338f43,def480fe,0
180,3f789719,e294e895,1
183,4067a454,cf27c799,1
186,41534b62,2b69d311,0
187,419fd786,610b2337,0
190,42bd6681,7a23f736,0
191,4322353b,96335bcf,0
192,4322478a,eee886cf,1
193,4417df8c,1aa40df6,0
194,442f6fd3,6ae6a233,0
195,4473060b,48a96972,0
197,44f243d3,346ef530,0
198,45a3e526,0d789a5b,0
199,45cbc37c,4b7989b1,0
201,4633a846,c5f04ddd,0
202,46ac74b7,ca5c701c,3
203,46bdfa39,c9672ba4,0
204,47242cd1,882add13,0
205,473e3930,e799ed40,1
207,48be4c62,a9dbc179,0
208,4931b02f,8bc095f7,0
209,493ddea5,62e5e83f,0
210,49a09e74,740ee055,0
211,49c58d86,a9b02de8,0
214,4cdf3f9d,4d0912a2,1
216,4d7bc52b,6b7728db,1
217,4d9bc37f,44dc738a,3
218,4d9c7e6f,54ba5a1a,0
219,4df7c8a0,65237284,0
221,4e8161a8,09bdff29,0
223,4fa66c85,90117bda,1
226,50492f7b,c0fa44d8,0
227,504c4d42,f53c5de2,4
231,50c2d855,f890db83,0
234,5220b758,76180a2b,1
236,52debb68,5f30bb4a,0
237,52fcec75,a5229cc9,0
238,542aa25d,af4941d4,0
239,54307ea7,715a51bc,0
240,54fd3243,dddbad72,1
244,5621760f,d395745d,1
245,569e554b,508ea882,1
246,56dfeb62,dfb7a1b4,0
247,574f5a59,b8023558,0
248,57734b4e,0a315bef,0
249,577dfd03,90a78b83,0
251,57f5d52a,12e0437f,1
252,57f82f4f,a4dded01,0
253,58142c09,6d308627,1
254,5819c2ee,fe0537aa,0
255,5854b36c,fd4df422,2
256,59801976,116fb64e,0
260,5a8e7c34,f2214ded,0
261,5bfc50d6,bfc99b63,0
262,5c1ebcca,5f4e3bf5,0
263,5c589a73,3c8ede3f,0
264,5c896f7c,11f8457f,1
266,5cae882d,901f9c6d,1
267,5caeeb83,793dc676,0
268,5ce10c0a,ef09036c,0
271,5d3206d5,1b7ba794,1
272,5e5be9e2,878452b9,0
277,6003303a,3f338f43,1
278,60452a30,949782d8,1
280,60cf6cd7,f6c64c64,0
281,610b2337,d1a8460c,0
282,612c49e9,4fb1c6aa,0
283,61d4c309,867e40ff,2
284,627fde10,1f9e18b7,2
285,6326f199,0719f3ee,1
286,634d2344,5580b271,0
287,6362ed0b,40069d6e,1
289,6395499a,4067a454,0
294,654b9a90,cf93982f,0
295,65e2041e,3f789719,1
297,661c3e9b,3d0a8338,2
300,68353144,984ad9e5,0
301,683f17ec,3e8e32c3,0
302,68ab61dd,e92b848c,1
305,6999bc70,77947bbe,1
306,6a024a24,f7b01d3e,2
309,6b34ce90,702ebbf4,0
310,6b7728db,9eed4f37,2
311,6b9114c6,768ededa,0
313,6bc91f23,bc437d10,0
314,6c0c2bf5,f4c9eaa4,1
315,6ca4c390,885eefb1,0
316,6cbc478d,b80f629f,1
317,6d14eac3,1fc458d9,3
318,6d308627,080739ba,0
319,6d41eb68,0196c75e,0
320,6d43a0ce,41da7111,0
321,6d523a3a,d426430e,0
322,6d5badb2,392f6d31,0
323,6d6a782f,3b75ee93,0
324,6d8c5454,d15c05a5,0
325,6e30b2f6,5d9b2de4,0
326,6e3c1595,d6b12300,0
327,6ea57703,4d7b0efc,0
328,6f253057,bc57b9c0,0
329,6f27b941,1da16e1e,0
330,6f37eb7d,ace976b2,0
331,6f52b741,ae520e36,0
337,71564516,165056b2,0
339,7171a0b0,fd3e6747,0
340,71abeb75,bd8f0055,0
341,71dac5ce,2f63cea9,1
342,71f35d5c,569aa376,0
344,7243f5f3,e9c6b279,0
345,73bc4b49,349e0c1a,2
347,740ee055,a92ea68f,0
348,7422ab50,1e43ed98,0
349,743fba85,aa9136a8,2
351,75676c8c,16726cfa,2
352,75ec4a6c,b42ca35e,0
353,7647537e,78849622,0
354,77023ea3,3157c880,0
357,7758b02b,7e58b816,0
359,77a9745d,c714e45f,0
360,78bde923,28d67d9a,2
361,79891cb9,3d9ff4d7,1
362,799e09e5,4aa2c475,1
363,79ed43c2,882d49ca,1
365,7a738b40,1e4bf907,0
366,7a7d0854,e059388f,0
367,7ac04f13,4f4458aa,2
368,7b01ab56,b4e8a847,0
369,7b35efd7,1cd772cc,0
371,7c8d2b00,aacc5c1a,0
373,7d5a38b6,789b3eff,1
377,7fcbd37f,3f0f6624,0
378,802de3da,19e02f4f,0
379,80460f51,92bbe7cc,0
381,8169d0d0,6e30b2f6,0
383,825b9226,c0c70f7a,1
385,834bc47b,3e930981,0
386,83558686,68f3c079,3
393,864033a3,6cbc478d,1
396,867e40ff,01e60a9a,1
397,873700c9,8bf3b758,1
400,89b8710f,bb2d8a81,3
401,8a5ad2ba,6d4960ac,0
402,8a679de6,92b1551b,1
403,8a81d5f5,174f9e62,0
404,8bcba3d0,70e1d53d,0
405,8c6d1f98,d132b32b,0
406,8e342255,72ce3ff7,2
410,8f71209d,ba5e05ff,0
412,901f9c6d,6ca4c390,1
413,905f27b8,e26a8c47,0
415,90cf590f,cec9264f,1
416,912c13d5,71f35d5c,0
419,9318c5dd,e8e44de7,1
420,93fdf301,9f41c7a6,0
422,940a911f,846df809,1
423,944cffbd,48be4c62,1
424,94e99012,166df26f,0
426,957a0fe2,be7e795e,3
429,968004c3,e29300d6,1
430,96e08010,2b6456b8,1
431,974b50c5,825b9226,1
432,979f0303,f2140c38,0
433,98491298,4417df8c,1
435,98718242,7202a6fa,0
436,98f2a687,9e58beca,0
437,993a21b0,7b35efd7,0
440,996ee6d2,1b8132d9,1
441,99a64e4b,b66f3b6b,1
444,9b561499,b4da9d62,0
446,9d77b040,5ab72271,0
447,9d9babb8,e8c16726,0
449,9e31eafe,4322478a,0
450,9e58beca,2b70e88d,1
451,9e6a4cfc,e0876bca,0
453,9e7ec634,18d0002d,0
454,9ec26e79,8109984d,0
456,9f23e040,c88098d7,0
458,a0393a29,9c966371,0
459,a086f921,3e7eaed0,0
460,a0a1831b,b3cbdd41,0
461,a0bba65b,207a06ce,0
462,a199a7c9,6bc91f23,0
464,a220e2bb,1e274ef2,0
466,a42d7b6a,27b5c1a0,2
469,a48f9bb1,574f5a59,0
471,a52397cc,d0b39a03,0
473,a560d870,0c064d90,0
474,a58a1b01,654b9a90,1
475,a58a8e3f,f4fa8a9b,1
476,a5c1efd6,802de3da,0
478,a6bb78c3,b439747b,0
480,a8739244,3bc581b9,0
484,a92ea68f,d3101b53,0
485,a9508a13,8f71209d,0
487,a9b5f5bf,944cffbd,1
488,a9dbc179,c251c83d,0
489,aa20cbc2,2bb73ae8,0
492,ab7797db,18a74a09,1
496,ace976b2,f06e90da,0
497,adb33566,ae989a61,0
498,ae520e36,98f2a687,0
499,ae989a61,df8e472c,0
500,ae9f6311,f0bca72d,0
501,af4941d4,02a8cfa4,0
502,af6730e7,b8607f35,0
504,afc676f2,55c529a7,0
505,afd67263,70471ed9,1
506,b0176ce6,cb7fb9ed,1
509,b15a3e00,462cbb41,0
510,b1ec08fd,52fcec75,1
511,b249e39f,07e7dbf0,0
512,b2dfeb7c,379642bc,0
513,b333d0d6,21d2a9e3,1
515,b3cbdd41,dc29ddeb,0
518,b4da9d62,4e8161a8,0
519,b58a68c1,be80a239,1
520,b5944f34,4d9c7e6f,0
521,b5f62ebe,9318c5dd,0
522,b76184e4,36371e4c,1
524,b8023558,82f0dfca,2
525,b8307836,053e2fb5,0
531,bac233f2,231a4b77,0
532,bb0ba997,7a3eb9e2,2
533,bb2d8a81,3c5de5c7,2
534,bbbb7de7,5d0bc90e,0
535,bc437d10,1be36b60,0
539,be7e795e,c4f596b9,0
540,c0071ae5,c4c02bf1,0
541,c0222e76,995bc22d,1
542,c061a149,3c78fd80,1
543,c0c20060,99429213,0
544,c0c70f7a,79e913c2,1
546,c1496934,82f6178a,1
548,c2691e2a,c22f6202,3
549,c4f596b9,560b0e8f,0
550,c5119dcf,e3f51039,0
553,c6b0597e,38f460ca,0
555,c6eff44d,31471ba2,0
556,c714e45f,f6a4e61f,0
557,c772d1bc,cd27bc7a,0
558,c81539b5,c0222e76,1
559,c81d2836,8e4571e5,0
560,c84a86c9,91b769c4,1
561,c88098d7,d9925d1a,0
564,ca79c985,4cf2143e,0
565,cb7fb9ed,37e61153,1
566,cbcd2cbd,aabbd3f3,0
567,cc6ee97c,070b7e44,0
569,cccf74e2,9e70233a,1
570,cd02599c,9c4b0f66,0
573,cdc37277,2997178e,1
574,cec9264f,9ec26e79,0
575,cedfc41a,9850fe5d,0
576,cf27c799,d083d420,1
577,cf4c2cfe,a52397cc,0
578,cf596442,bcb497d0,0
580,d0b6966e,2c608e0f,0
581,d0ccc82a,52debb68,0
583,d24b21e9,0fe5043d,0
584,d2554c72,51dd3e81,0
587,d2b7d9c7,2eb80bcd,0
588,d2bbb7c2,9a266912,1
589,d2ee1185,d2b7d9c7,0
590,d3101b53,9fd75046,0
592,d3621de7,ff2981f7,0
593,d38c7b2c,8465541e,3
595,d41626ff,7b91929b,0
596,d426430e,0111681e,0
597,d4aae459,8325e43b,0
598,d604176d,58142c09,1
602,d6b12300,a7bc845a,0
603,d7263d09,71dac5ce,3
605,d7e6b6a8,515360f9,0
607,d8245bb3,22e5ae5c,2
609,d9925d1a,0f974e21,1
610,d993ce1e,e1d09701,0
614,dabd35f4,54307ea7,0
616,dbc5276f,60b84ba2,0
617,dbf1b5fb,119ab159,0
618,dc21164e,7418a6b1,0
619,dc7e09a3,43a42aa4,4
620,dcde8b3d,2fc0f184,0
621,de37d50d,4939e2c4,0
622,de61cebd,023ff39b,0
623,de8946de,3c8a51e8,0
624,de950c57,070e5f72,1
627,deee904a,2ff7dff0,0
630,df5a9255,fda65fad,1
631,df9da64a,d4c6375f,3
632,e04d08a4,e78d5d49,0
633,e0a92804,511dca80,1
635,e0e56cbf,7725bebe,0
637,e15b9606,45cbc37c,0
638,e1d09701,3cddb008,0
639,e1fae930,3edcc048,0
640,e2522f2a,7063693d,1
641,e25a4ded,979f0303,0
642,e25c1229,41534b62,0
643,e26a8c47,19a7f24b,0
644,e294e895,9df4a607,1
645,e2cb6ab8,627fde10,2
647,e3a43446,3a300333,2
648,e3efa94b,d2addc3b,1
649,e4770f67,b2dfeb7c,0
650,e51217e1,d1657b57,2
651,e5a730a1,c81d2836,0
652,e6273f4d,845de33a,0
654,e6a492b7,834bc47b,0
656,e799ed40,a0bba65b,0
658,e82675a0,d19e3a5b,0
659,e8e44de7,5c24cdea,2
660,e94eac49,ba6746c0,1
662,e9c6b279,10a9ddba,0
666,ecba1953,49c58d86,3
669,ee7fd70e,48aa37ed,0
670,ee861e0f,52563d7e,1
671,ee87a6e7,2595a8b1,2
672,ee92ab99,60759baa,1
674,ef635b90,873700c9,0
675,efe47281,3a0b6b9a,0
679,f26efc58,49a09e74,0
680,f364f027,3e5b36c6,1
681,f36538d8,b6446d54,0
683,f5236a77,96e08010,1
685,f57f37e2,24c8407e,0
686,f6136f3c,283badc3,0
687,f63df942,93abd178,2
689,f7935827,77356122,0
690,f7f90e0f,adbcfe65,1
691,f8f7adce,77023ea3,0
692,f95fdc25,bb493a5c,0
693,f989ac27,2846ef3e,0
694,f9b11147,ee3051bd,1
695,fa099d23,d026a256,3
696,fa13fd17,48b3693d,1
697,fa96ea1b,92b38093,0
700,fba92be8,473e3930,1
702,fcf0fe9e,3ad87c80,0
704,fd2e7daf,43b8bba6,0
705,fd3e6747,da49a7da,0
707,fdba2cde,36d67921,0
709,ffeef642,a8739244,0
